number,position,Q1,Q2,Q3,driverId,constructorId,season,round
15,3,1:25.938,1:25.121,1:26.830,vettel,red_bull,2009,1
5,4,1:25.922,1:25.152,1:26.914,kubica,bmw_sauber,2009,1
16,5,1:25.846,1:25.123,1:26.973,rosberg,williams,2009,1
10,6,1:25.499,1:25.281,1:26.975,glock,toyota,2009,1
3,7,1:25.844,1:25.319,1:27.033,massa,ferrari,2009,1
9,8,1:26.194,1:25.265,1:27.127,trulli,toyota,2009,1
4,9,1:25.899,1:25.380,1:27.163,raikkonen,ferrari,2009,1
14,10,1:25.427,1:25.241,1:27.246,webber,red_bull,2009,1
6,11,1:25.827,1:25.504,,heidfeld,bmw_sauber,2009,1
7,12,1:26.026,1:25.605,,alonso,renault,2009,1
17,13,1:26.074,1:25.607,,nakajima,williams,2009,1
2,14,1:26.184,1:25.726,,kovalainen,mclaren,2009,1
1,15,1:26.454,,,hamilton,mclaren,2009,1
12,16,1:26.503,,,buemi,toro_rosso,2009,1
8,17,1:26.598,,,piquet_jr,renault,2009,1
21,18,1:26.677,,,fisichella,force_india,2009,1
20,19,1:26.742,,,sutil,force_india,2009,1
11,20,1:26.964,,,bourdais,toro_rosso,2009,1
9,1,1:24.620,1:16.135,1:13.876,rosberg,mercedes,2013,6
10,2,1:23.779,1:16.265,1:13.967,hamilton,mercedes,2013,6
1,3,1:24.243,1:15.988,1:13.980,vettel,red_bull,2013,6
2,4,1:25.352,1:17.322,1:14.181,webber,red_bull,2013,6
7,5,1:25.835,1:16.040,1:14.822,raikkonen,lotus_f1,2013,6
3,6,1:23.712,1:16.510,1:14.824,alonso,ferrari,2013,6
6,7,1:24.682,1:17.748,1:15.138,perez,mclaren,2013,6
15,8,1:25.108,1:17.261,1:15.383,sutil,force_india,2013,6
5,9,1:23.744,1:17.420,1:15.647,button,mclaren,2013,6
18,10,1:23.699,1:17.623,1:15.703,vergne,toro_rosso,2013,6
11,11,1:25.547,1:18.331,,hulkenberg,sauber,2013,6
19,12,1:24.852,1:18.344,,ricciardo,toro_rosso,2013,6
8,13,1:23.738,1:18.603,,grosjean,lotus_f1,2013,6
17,14,1:24.681,1:19.077,,bottas,williams,2013,6
21,15,1:26.095,1:19.408,,garde,caterham,2013,6
16,16,1:23.452,1:21.688,,maldonado,williams,2013,6
14,17,1:26.322,,,resta,force_india,2013,6
20,18,1:26.633,,,pic,caterham,2013,6
12,19,1:26.917,,,gutierrez,sauber,2013,6
23,20,1:27.303,,,chilton,marussia,2013,6
22,21,,,,jules_bianchi,marussia,2013,6
4,22,,,,massa,ferrari,2013,6
1,1,1:38.516,1:37.065,1:36.338,vettel,red_bull,2013,18
2,2,1:38.161,1:37.312,1:36.441,webber,red_bull,2013,18
8,3,1:38.676,1:37.523,1:37.155,grosjean,lotus_f1,2013,18
11,4,1:38.339,1:37.828,1:37.296,hulkenberg,sauber,2013,18
10,5,1:37.959,1:37.854,1:37.345,hamilton,mercedes,2013,18
3,6,1:38.929,1:37.368,1:37.376,alonso,ferrari,2013,18
6,7,1:38.367,1:38.040,1:37.452,perez,mclaren,2013,18
7,8,1:38.375,1:38.078,1:37.715,kovalainen,lotus_f1,2013,18
17,9,1:37.821,1:37.439,1:37.836,bottas,williams,2013,18
12,10,1:38.082,1:38.031,1:38.034,gutierrez,sauber,2013,18
19,11,1:38.882,1:38.131,,ricciardo,toro_rosso,2013,18
14,12,1:38.894,1:38.139,,resta,force_india,2013,18
5,13,1:38.588,1:38.217,,button,mclaren,2013,18
9,14,1:38.743,1:38.364,,rosberg,mercedes,2013,18
4,15,1:39.094,1:38.592,,massa,ferrari,2013,18
18,16,1:38.880,1:38.696,,vergne,toro_rosso,2013,18
15,17,1:39.250,,,sutil,force_india,2013,18
16,18,1:39.351,,,maldonado,williams,2013,18
21,19,1:40.491,,,garde,caterham,2013,18
22,20,1:40.528,,,jules_bianchi,marussia,2013,18
20,21,1:40.596,,,pic,caterham,2013,18
23,22,1:41.401,,,chilton,marussia,2013,18
44,1,1:39.487,1:39.382,1:38.755,hamilton,mercedes,2016,21
6,2,1:40.511,1:39.490,1:39.058,rosberg,mercedes,2016,21
3,3,1:41.002,1:40.429,1:39.589,ricciardo,red_bull,2016,21
7,4,1:40.338,1:39.629,1:39.604,raikkonen,ferrari,2016,21
5,5,1:40.341,1:40.034,1:39.661,vettel,ferrari,2016,21
33,6,1:40.424,1:39.903,1:39.818,max_verstappen,red_bull,2016,21
27,7,1:41.000,1:40.709,1:40.501,hulkenberg,force_india,2016,21
11,8,1:40.864,1:40.743,1:40.519,perez,force_india,2016,21
14,9,1:41.616,1:41.044,1:41.106,alonso,mclaren,2016,21
19,10,1:41.157,1:40.858,1:41.213,massa,williams,2016,21
77,11,1:41.192,1:41.084,,bottas,williams,2016,21
22,12,1:41.158,1:41.272,,button,mclaren,2016,21
21,13,1:41.639,1:41.480,,gutierrez,haas,2016,21
8,14,1:41.467,1:41.564,,grosjean,haas,2016,21
30,15,1:41.775,1:41.820,,jolyon_palmer,renault,2016,21
94,16,1:41.886,1:41.995,,wehrlein,manor,2016,21
26,17,1:42.003,,,kvyat,toro_rosso,2016,21
20,18,1:42.142,,,kevin_magnussen,renault,2016,21
12,19,1:42.247,,,nasr,sauber,2016,21
31,20,1:42.286,,,ocon,manor,2016,21
55,21,1:42.393,,,sainz,toro_rosso,2016,21
9,22,1:42.637,,,ericsson,sauber,2016,21
1,1,1:15.022,,,michael_schumacher,ferrari,2004,5
3,2,1:15.639,,,montoya,williams,2004,5
10,3,1:15.809,,,sato,bar,2004,5
7,4,1:16.144,,,trulli,renault,2004,5
2,5,1:16.272,,,barrichello,ferrari,2004,5
4,6,1:16.293,,,ralf_schumacher,williams,2004,5
17,7,1:16.313,,,panis,toyota,2004,5
8,8,1:16.422,,,alonso,renault,2004,5
14,9,1:16.514,,,webber,jaguar,2004,5
5,10,1:16.636,,,coulthard,mclaren,2004,5
16,11,1:17.038,,,matta,toyota,2004,5
11,12,1:17.444,,,fisichella,sauber,2004,5
6,13,1:17.445,,,raikkonen,mclaren,2004,5
9,14,1:17.575,,,button,bar,2004,5
18,15,1:17.802,,,heidfeld,jordan,2004,5
15,16,1:17.812,,,klien,jaguar,2004,5
12,17,1:17.866,,,massa,sauber,2004,5
20,18,1:19.817,,,bruni,minardi,2004,5
19,19,1:20.607,,,pantano,jordan,2004,5
21,20,1:21.470,,,baumgartner,minardi,2004,5
44,1,1:24.191,1:23.251,1:22.188,hamilton,mercedes,2017,1
5,2,1:25.210,1:23.401,1:22.456,vettel,ferrari,2017,1
77,3,1:24.514,1:23.215,1:22.481,bottas,mercedes,2017,1
7,4,1:24.352,1:23.376,1:23.033,raikkonen,ferrari,2017,1
33,5,1:24.482,1:24.092,1:23.485,max_verstappen,red_bull,2017,1
8,6,1:25.419,1:24.718,1:24.074,grosjean,haas,2017,1
19,7,1:25.099,1:24.597,1:24.443,massa,williams,2017,1
55,8,1:25.542,1:24.997,1:24.487,sainz,toro_rosso,2017,1
26,9,1:25.970,1:24.864,1:24.512,kvyat,toro_rosso,2017,1
3,10,1:25.383,1:23.989,,ricciardo,red_bull,2017,1
11,11,1:25.064,1:25.081,,perez,force_india,2017,1
27,12,1:24.975,1:25.091,,hulkenberg,renault,2017,1
14,13,1:25.872,1:25.425,,alonso,mclaren,2017,1
31,14,1:26.009,1:25.568,,ocon,force_india,2017,1
9,15,1:26.236,1:26.465,,ericsson,sauber,2017,1
36,16,1:26.419,,,giovinazzi,sauber,2017,1
20,17,1:26.847,,,kevin_magnussen,haas,2017,1
2,18,1:26.858,,,vandoorne,mclaren,2017,1
18,19,1:27.143,,,stroll,williams,2017,1
30,20,1:28.244,,,jolyon_palmer,renault,2017,1
21,1,1:45.102,1:44.667,1:46.308,fisichella,force_india,2009,12
9,2,1:45.140,1:44.503,1:46.395,trulli,toyota,2009,12
6,3,1:45.566,1:44.709,1:46.500,heidfeld,bmw_sauber,2009,12
23,4,1:45.237,1:44.834,1:46.513,barrichello,brawn,2009,12
5,5,1:45.655,1:44.557,1:46.586,kubica,bmw_sauber,2009,12
4,6,1:45.579,1:44.953,1:46.633,raikkonen,ferrari,2009,12
10,7,1:45.450,1:44.877,1:46.677,glock,toyota,2009,12
15,8,1:45.372,1:44.592,1:46.761,vettel,red_bull,2009,12
14,9,1:45.350,1:44.924,1:46.788,webber,red_bull,2009,12
16,10,1:45.486,1:45.047,1:47.362,rosberg,williams,2009,12
20,11,1:45.239,1:45.119,,sutil,force_india,2009,12
1,12,1:45.767,1:45.122,,hamilton,mclaren,2009,12
7,13,1:45.707,1:45.136,,alonso,renault,2009,12
22,14,1:45.761,1:45.251,,button,brawn,2009,12
2,15,1:45.705,1:45.259,,kovalainen,mclaren,2009,12
12,16,1:45.951,,,buemi,toro_rosso,2009,12
11,17,1:46.302,,,alguersuari,toro_rosso,2009,12
17,18,1:46.307,,,nakajima,williams,2009,12
8,19,1:46.359,,,grosjean,renault,2009,12
3,20,1:46.957,,,badoer,ferrari,2009,12
33,1,1:15.817,1:15.573,1:14.572,max_verstappen,red_bull,2019,12
77,2,1:16.078,1:15.669,1:14.590,bottas,mercedes,2019,12
44,3,1:16.068,1:15.548,1:14.769,hamilton,mercedes,2019,12
16,4,1:16.337,1:15.792,1:15.043,leclerc,ferrari,2019,12
5,5,1:16.452,1:15.885,1:15.071,vettel,ferrari,2019,12
10,6,1:16.716,1:16.393,1:15.450,gasly,red_bull,2019,12
4,7,1:16.697,1:16.060,1:15.800,norris,mclaren,2019,12
55,8,1:16.493,1:16.308,1:15.852,sainz,mclaren,2019,12
8,9,1:16.978,1:16.319,1:16.013,grosjean,haas,2019,12
7,10,1:16.506,1:16.518,1:16.041,raikkonen,alfa,2019,12
27,11,1:16.790,1:16.565,,hulkenberg,renault,2019,12
23,12,1:16.912,1:16.687,,albon,toro_rosso,2019,12
26,13,1:16.750,1:16.692,,kvyat,toro_rosso,2019,12
99,14,1:16.894,1:16.804,,giovinazzi,alfa,2019,12
20,15,1:16.122,1:17.081,,kevin_magnussen,haas,2019,12
63,16,1:17.031,,,russell,williams,2019,12
11,17,1:17.109,,,perez,racing_point,2019,12
3,18,1:17.257,,,ricciardo,renault,2019,12
18,19,1:17.542,,,stroll,racing_point,2019,12
88,20,1:18.324,,,kubica,williams,2019,12
1,1,1:36.558,1:35.796,1:35.657,vettel,red_bull,2012,19
4,2,1:37.058,1:36.795,1:35.766,hamilton,mclaren,2012,19
2,3,1:37.215,1:36.298,1:36.174,webber,red_bull,2012,19
10,4,1:37.486,1:36.906,1:36.587,grosjean,lotus_f1,2012,19
9,5,1:38.051,1:37.404,1:36.708,raikkonen,lotus_f1,2012,19
7,6,1:37.927,1:37.102,1:36.794,michael_schumacher,mercedes,2012,19
6,7,1:37.667,1:36.549,1:36.937,massa,ferrari,2012,19
12,8,1:37.756,1:37.066,1:37.141,hulkenberg,force_india,2012,19
5,9,1:37.968,1:37.123,1:37.300,alonso,ferrari,2012,19
18,10,1:37.537,1:37.011,1:37.842,maldonado,williams,2012,19
19,11,1:37.520,1:37.604,,bruno_senna,williams,2012,19
3,12,1:37.565,1:37.616,,button,mclaren,2012,19
11,13,1:38.104,1:37.665,,resta,force_india,2012,19
17,14,1:38.434,1:37.879,,vergne,toro_rosso,2012,19
15,15,1:38.500,1:38.206,,perez,sauber,2012,19
14,16,1:38.418,1:38.437,,kobayashi,sauber,2012,19
8,17,1:38.862,1:38.501,,rosberg,mercedes,2012,19
16,18,1:39.114,,,ricciardo,toro_rosso,2012,19
24,19,1:40.056,,,glock,marussia,2012,19
25,20,1:40.664,,,pic,marussia,2012,19
21,21,1:40.809,,,petrov,caterham,2012,19
20,22,1:41.166,,,kovalainen,caterham,2012,19
22,23,1:42.011,,,rosa,hrt,2012,19
23,24,1:42.740,,,karthikeyan,hrt,2012,19
4,1,1:15.259,,,ralf_schumacher,williams,2003,7
6,2,1:15.295,,,raikkonen,mclaren,2003,7
3,3,1:15.415,,,montoya,williams,2003,7
7,4,1:15.500,,,trulli,renault,2003,7
1,5,1:15.644,,,michael_schumacher,ferrari,2003,7
5,6,1:15.700,,,coulthard,mclaren,2003,7
2,7,1:15.820,,,barrichello,ferrari,2003,7
8,8,1:15.884,,,alonso,renault,2003,7
14,9,1:16.237,,,webber,jaguar,2003,7
21,10,1:16.744,,,matta,toyota,2003,7
16,11,1:16.755,,,villeneuve,bar,2003,7
11,12,1:16.967,,,fisichella,jordan,2003,7
15,13,1:17.103,,,pizzonia,jaguar,2003,7
9,14,1:17.176,,,heidfeld,sauber,2003,7
10,15,1:17.402,,,frentzen,sauber,2003,7
12,16,1:17.452,,,firman,jordan,2003,7
20,17,1:17.464,,,panis,toyota,2003,7
19,18,1:18.706,,,verstappen,minardi,2003,7
18,19,1:20.063,,,wilson,minardi,2003,7
17,20,,,,button,bar,2003,7
6,1,1:51.886,1:48.210,1:49.327,webber,red_bull,2010,3
4,2,1:52.560,1:47.417,1:50.673,rosberg,mercedes,2010,3
5,3,1:47.632,1:46.828,1:50.789,vettel,red_bull,2010,3
14,4,1:49.479,1:47.085,1:50.914,sutil,force_india,2010,3
10,5,1:49.664,1:47.346,1:51.001,hulkenberg,williams,2010,3
11,6,1:46.283,1:46.951,1:51.051,kubica,renault,2010,3
9,7,1:50.301,1:48.371,1:51.511,barrichello,williams,2010,3
3,8,1:52.239,1:48.400,1:51.717,michael_schumacher,mercedes,2010,3
23,9,1:48.467,1:47.792,1:51.767,kobayashi,sauber,2010,3
15,10,1:49.922,1:48.238,1:52.254,liuzzi,force_india,2010,3
12,11,1:47.952,1:48.760,,petrov,renault,2010,3
22,12,1:47.153,1:48.771,,rosa,sauber,2010,3
16,13,1:48.945,1:49.207,,buemi,toro_rosso,2010,3
17,14,1:48.655,1:49.464,,alguersuari,toro_rosso,2010,3
19,15,1:52.875,1:52.270,,kovalainen,lotus_racing,2010,3
24,16,1:52.398,1:52.520,,glock,virgin,2010,3
1,17,1:52.211,,,button,mclaren,2010,3
18,18,1:52.884,,,trulli,lotus_racing,2010,3
8,19,1:53.044,,,alonso,ferrari,2010,3
2,20,1:53.050,,,hamilton,mclaren,2010,3
7,21,1:53.283,,,massa,ferrari,2010,3
20,22,1:56.299,,,chandhok,hrt,2010,3
21,23,1:57.269,,,bruno_senna,hrt,2010,3
25,24,1:59.977,,,grassi,virgin,2010,3
44,1,1:42.977,1:41.553,1:58.179,hamilton,mercedes,2018,13
5,2,1:43.035,1:41.501,1:58.905,vettel,ferrari,2018,13
31,3,1:44.003,1:43.302,2:01.851,ocon,force_india,2018,13
11,4,1:44.004,1:43.014,2:01.894,perez,force_india,2018,13
8,5,1:43.597,1:43.042,2:02.122,grosjean,haas,2018,13
7,6,1:42.585,1:41.533,2:02.671,raikkonen,ferrari,2018,13
33,7,1:43.199,1:42.554,2:02.769,max_verstappen,red_bull,2018,13
3,8,1:43.604,1:43.126,2:02.939,ricciardo,red_bull,2018,13
20,9,1:43.834,1:43.320,2:04.933,kevin_magnussen,haas,2018,13
77,10,1:42.805,1:42.191,,bottas,mercedes,2018,13
10,11,1:44.221,1:43.844,,gasly,toro_rosso,2018,13
28,12,1:44.153,1:43.865,,brendon_hartley,toro_rosso,2018,13
16,13,1:43.654,1:44.062,,leclerc,sauber,2018,13
9,14,1:43.846,1:44.301,,ericsson,sauber,2018,13
27,15,1:44.145,,,hulkenberg,renault,2018,13
55,16,1:44.489,,,sainz,renault,2018,13
14,17,1:44.917,,,alonso,mclaren,2018,13
35,18,1:44.998,,,sirotkin,williams,2018,13
18,19,1:45.134,,,stroll,williams,2018,13
2,20,1:45.307,,,vandoorne,mclaren,2018,13
22,1,1:46.887,1:46.088,1:47.338,hamilton,mclaren,2008,13
2,2,1:46.873,1:46.391,1:47.678,massa,ferrari,2008,13
23,3,1:46.812,1:46.037,1:47.815,kovalainen,mclaren,2008,13
1,4,1:46.960,1:46.298,1:47.992,raikkonen,ferrari,2008,13
3,5,1:47.419,1:46.311,1:48.315,heidfeld,bmw_sauber,2008,13
5,6,1:47.154,1:46.491,1:48.504,alonso,renault,2008,13
10,7,1:47.270,1:46.814,1:48.736,webber,red_bull,2008,13
4,8,1:47.093,1:46.494,1:48.763,kubica,bmw_sauber,2008,13
14,9,1:46.777,1:46.544,1:48.951,bourdais,toro_rosso,2008,13
15,10,1:47.152,1:46.804,1:50.319,vettel,toro_rosso,2008,13
11,11,1:47.400,1:46.949,,trulli,toyota,2008,13
6,12,1:47.052,1:46.965,,piquet_jr,renault,2008,13
12,13,1:47.359,1:46.995,,glock,toyota,2008,13
9,14,1:47.132,1:47.018,,coulthard,red_bull,2008,13
7,15,1:47.503,1:47.429,,rosberg,williams,2008,13
17,16,1:48.153,,,barrichello,honda,2008,13
16,17,1:48.211,,,button,honda,2008,13
20,18,1:48.226,,,sutil,force_india,2008,13
8,19,1:48.268,,,nakajima,williams,2008,13
21,20,1:48.447,,,fisichella,force_india,2008,13
44,1,1:55.516,1:54.029,1:53.860,hamilton,mercedes,2014,4
3,2,1:56.641,1:55.302,1:54.455,ricciardo,red_bull,2014,4
1,3,1:55.926,1:54.499,1:54.960,vettel,red_bull,2014,4
6,4,1:56.058,1:55.294,1:55.143,rosberg,mercedes,2014,4
14,5,1:56.961,1:55.765,1:55.637,alonso,ferrari,2014,4
19,6,1:56.850,1:56.757,1:56.147,massa,williams,2014,4
77,7,1:56.501,1:56.253,1:56.282,bottas,williams,2014,4
27,8,1:55.913,1:56.847,1:56.366,hulkenberg,force_india,2014,4
25,9,1:57.477,1:56.584,1:56.773,vergne,toro_rosso,2014,4
8,10,1:58.411,1:56.407,1:57.079,grosjean,lotus_f1,2014,4
7,11,1:58.279,1:56.860,,raikkonen,ferrari,2014,4
22,12,1:57.783,1:56.963,,button,mclaren,2014,4
26,13,1:57.261,1:57.289,,kvyat,toro_rosso,2014,4
99,14,1:58.138,1:57.393,,sutil,sauber,2014,4
20,15,1:57.369,1:57.675,,kevin_magnussen,mclaren,2014,4
11,16,1:58.362,1:58.264,,perez,force_india,2014,4
21,17,1:58.988,,,gutierrez,sauber,2014,4
10,18,1:59.260,,,kobayashi,caterham,2014,4
17,19,1:59.326,,,jules_bianchi,marussia,2014,4
9,20,2:00.646,,,ericsson,caterham,2014,4
4,21,2:00.865,,,chilton,marussia,2014,4
13,22,,,,maldonado,lotus_f1,2014,4
77,1,1:37.356,1:36.822,1:36.231,bottas,mercedes,2017,20
44,2,1:37.391,1:36.742,1:36.403,hamilton,mercedes,2017,20
5,3,1:37.817,1:37.023,1:36.777,vettel,ferrari,2017,20
3,4,1:38.016,1:37.583,1:36.959,ricciardo,red_bull,2017,20
7,5,1:37.453,1:37.302,1:36.985,raikkonen,ferrari,2017,20
33,6,1:38.021,1:37.777,1:37.328,max_verstappen,red_bull,2017,20
27,7,1:38.781,1:38.138,1:38.282,hulkenberg,renault,2017,20
11,8,1:38.601,1:38.359,1:38.374,perez,force_india,2017,20
31,9,1:38.896,1:38.392,1:38.397,ocon,force_india,2017,20
19,10,1:38.629,1:38.565,1:38.550,massa,williams,2017,20
14,11,1:38.820,1:38.636,,alonso,mclaren,2017,20
55,12,1:38.810,1:38.725,,sainz,renault,2017,20
2,13,1:38.777,1:38.808,,vandoorne,mclaren,2017,20
20,14,1:39.395,1:39.298,,kevin_magnussen,haas,2017,20
18,15,1:39.503,1:39.646,,stroll,williams,2017,20
8,16,1:39.516,,,grosjean,haas,2017,20
10,17,1:39.724,,,gasly,toro_rosso,2017,20
94,18,1:39.930,,,wehrlein,sauber,2017,20
9,19,1:39.994,,,ericsson,sauber,2017,20
28,20,1:40.471,,,brendon_hartley,toro_rosso,2017,20
5,1,1:42.762,1:43.015,1:41.498,vettel,ferrari,2018,4
44,2,1:42.693,1:42.676,1:41.677,hamilton,mercedes,2018,4
77,3,1:43.355,1:42.679,1:41.837,bottas,mercedes,2018,4
3,4,1:42.857,1:43.482,1:41.911,ricciardo,red_bull,2018,4
33,5,1:42.642,1:42.901,1:41.994,max_verstappen,red_bull,2018,4
7,6,1:42.538,1:42.510,1:42.490,raikkonen,ferrari,2018,4
31,7,1:43.021,1:42.967,1:42.523,ocon,force_india,2018,4
11,8,1:43.992,1:43.366,1:42.547,perez,force_india,2018,4
27,9,1:43.746,1:43.232,1:43.066,hulkenberg,renault,2018,4
55,10,1:43.426,1:43.464,1:43.351,sainz,renault,2018,4
18,11,1:44.359,1:43.585,,stroll,williams,2018,4
35,12,1:44.261,1:43.886,,sirotkin,williams,2018,4
14,13,1:44.010,1:44.019,,alonso,mclaren,2018,4
16,14,1:43.752,1:44.074,,leclerc,sauber,2018,4
20,15,1:43.674,1:44.759,,kevin_magnussen,haas,2018,4
2,16,1:44.489,,,vandoorne,mclaren,2018,4
10,17,1:44.496,,,gasly,toro_rosso,2018,4
9,18,1:45.541,,,ericsson,sauber,2018,4
28,19,1:57.354,,,brendon_hartley,toro_rosso,2018,4
8,20,,,,grosjean,haas,2018,4
1,1,1:14.011,1:13.486,1:13.014,vettel,red_bull,2011,7
